Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
79950.0,1584.0,2020 GWM Steed 5 2.0WGT Double Cab SX,Used Car50 000 kmManual,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Manual,50.0,2020,GWM,Steed,"['5', '2.0WGT', 'Double', 'Cab', 'SX']"
79950.0,1584.0,2018 Renault Kwid 1.0 Dynamique,Used Car45 000 kmManual,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Manual,45.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
79950.0,1584.0,2019 Renault Kwid 1.0 Expression,Used Car35 000 kmManual,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Manual,35.0,2019,Renault,Kwid,"['1.0', 'Expression']"
79900.0,1583.0,2012 Mazda Mazda2 Hatch 1.3 Active,Used Car78 000 kmManual,OZ MOTORS,"City & Suburban, Johannesburg",Manual,78.0,2012,Mazda,Mazda2,"['Hatch', '1.3', 'Active']"
79900.0,1583.0,2014 Chevrolet Cruze Sedan 1.6 LS,Used Car197 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,197.0,2014,Chevrolet,Cruze,"['Sedan', '1.6', 'LS']"
79900.0,1583.0,2014 Renault Clio 66kW Turbo Expression,Used Car240 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,240.0,2014,Renault,Clio,"['66kW', 'Turbo', 'Expression']"
79900.0,1583.0,2013 Renault Sandero Stepway 1.6,Used Car237 722 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,237.722,2013,Renault,Sandero,"['Stepway', '1.6']"
79900.0,1583.0,2013 Hyundai i10 1.1 GLS,Used Car188 400 kmManual,KONDAKOV CARS CC,"Ravenswood, Boksburg",Manual,188.4,2013,Hyundai,i10,"['1.1', 'GLS']"
79900.0,1583.0,2012 Volvo S60 T4 Excel Auto,Used Car188 500 kmAutomatic,RIGHT CARS,"North Riding, Randburg",Automatic,188.5,2012,Volvo,S60,"['T4', 'Excel', 'Auto']"
79900.0,1583.0,2013 Nissan NP300 Hardbody 2.4 Double Cab 4x4,Used Car132 600 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,132.6,2013,Nissan,NP300,"['Hardbody', '2.4', 'Double', 'Cab', '4x4']"
79900.0,1583.0,2013 SsangYong Korando 2.0,Used Car158 300 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,158.3,2013,SsangYong,Korando,['2.0']
79900.0,1583.0,2012 Ford Fiesta 5-door 1.4 Ambiente,Used Car177 000 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,177.0,2012,Ford,Fiesta,"['5-door', '1.4', 'Ambiente']"
79900.0,1583.0,2013 Renault Sandero Stepway 1.6,Used Car201 000 kmManual,RIFLE RANGE CAR SALES,"Rosettenville, Johannesburg",Manual,201.0,2013,Renault,Sandero,"['Stepway', '1.6']"
79900.0,1583.0,2012 Peugeot Boxer 2.2HDi L2H1 M,Used Car157 000 kmManual,RIFLE RANGE CAR SALES,"Rosettenville, Johannesburg",Manual,157.0,2012,Peugeot,Boxer,"['2.2HDi', 'L2H1', 'M']"
79900.0,1583.0,2012 Citroen C3 1.4i Attraction,Used Car138 600 kmManual,RIFLE RANGE CAR SALES,"Rosettenville, Johannesburg",Manual,138.6,2012,Citroen,C3,"['1.4i', 'Attraction']"
79900.0,1583.0,2018 Renault Kwid 1.0 Dynamique,Used Car66 000 kmManual,TREASURE CITY CARS,"Rhodesfield, Kempton Park",Manual,66.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
79900.0,1583.0,2018 Renault Kwid 1.0 Dynamique,Used Car66 000 kmManual,TREASURE CITY CARS,"Rhodesfield, Kempton Park",Manual,66.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
