Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99950.0,1980.0,2017 Renault Kwid 1.0 Dynamique,Used Car146 116 kmManual,SOLLYS CAR SALES,"Nigel Central, Nigel",Manual,146.116,2017,Renault,Kwid,"['1.0', 'Dynamique']"
99950.0,1980.0,2008 Volkswagen Polo Classic 1.4 Trendline,Used Car187 536 kmManual,JOURNEY MOTORS,"Gezina, Pretoria",Manual,187.536,2008,Volkswagen,Polo,"['Classic', '1.4', 'Trendline']"
99950.0,1980.0,2015 Fiat 500 1.4 Lounge,Used Car93 000 kmManual,REVOLUTION AUTO,"Ferndale, Randburg",Manual,93.0,2015,Fiat,500,"['1.4', 'Lounge']"
99950.0,1980.0,2012 Mazda Mazda2 Hatch 1.3 Active,Used Car99 500 kmManual,Private Business Seller,"Johannesburg Central, Johannesburg",Manual,99.5,2012,Mazda,Mazda2,"['Hatch', '1.3', 'Active']"
99950.0,1980.0,2004 Toyota Camry GLI Auto,Used Car191 000 kmAutomatic,G I G MOTORS,"Edenvale Central, Edenvale",Automatic,191.0,2004,Toyota,Camry,"['GLI', 'Auto']"
99900.0,1979.0,2011 Kia Picanto 1.1 Striker,Used Car128 500 kmManual,EPSON MOTORS,"Glenvarloch, Nigel",Manual,128.5,2011,Kia,Picanto,"['1.1', 'Striker']"
99900.0,1979.0,2003 BMW 3 Series 325Ci Auto,Used Car165 000 kmAutomatic,GAUTENG MOTOR CENTRE,"Pretoria Central, Pretoria",Automatic,165.0,2003,BMW,3,"['Series', '325Ci', 'Auto']"
99900.0,1979.0,2001 Land Rover Discovery TD5,Used Car277 000 kmAutomatic,GAUTENG MOTOR CENTRE,"Pretoria Central, Pretoria",Automatic,277.0,2001,Land,Rover,"['Discovery', 'TD5']"
99900.0,1979.0,2010 Volkswagen Polo Vivo Sedan 1.4 Trendline,Used Car193 000 kmManual,CORONA MOTORS,"Gezina, Pretoria",Manual,193.0,2010,Volkswagen,Polo,"['Vivo', 'Sedan', '1.4', 'Trendline']"
99900.0,1979.0,2008 Toyota Yaris 1.3 5-Door T3+ Auto,Used Car200 000 kmAutomatic,WESTERN AUTOHAUS MOTOR COMPANY,"Delarey, Roodepoort",Automatic,200.0,2008,Toyota,Yaris,"['1.3', '5-Door', 'T3+', 'Auto']"
99900.0,1979.0,2016 Ford Focus Hatch 1.0T Trend,Used Car146 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,146.0,2016,Ford,Focus,"['Hatch', '1.0T', 'Trend']"
99900.0,1979.0,2011 Nissan Qashqai 2.0 Acenta,Used Car211 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,211.0,2011,Nissan,Qashqai,"['2.0', 'Acenta']"
99900.0,1979.0,2015 Ford Fiesta 5-door 1.4 Ambiente,Used Car109 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,109.0,2015,Ford,Fiesta,"['5-door', '1.4', 'Ambiente']"
99900.0,1979.0,2013 Jeep Compass 2.0L Limited Altitude Auto,Used Car193 000 kmAutomatic,MOTORCADE CC,"Pretoria Central, Pretoria",Automatic,193.0,2013,Jeep,Compass,"['2.0L', 'Limited', 'Altitude', 'Auto']"
99900.0,1979.0,2007 Subaru Forester 2.5 XS,Used Car328 079 kmManual,SUBARU CENTURION,"Hennops Park Industrial, Centurion",Manual,328.079,2007,Subaru,Forester,"['2.5', 'XS']"
99900.0,1979.0,2009 Renault Clio 1.4 Extreme limited edition 5-Door,Used Car144 000 kmManual,BRYANSTON EXECUTIVE CARS,"Ferndale, Randburg",Manual,144.0,2009,Renault,Clio,"['1.4', 'Extreme', 'limited', 'edition', '5-Door']"
99900.0,1979.0,2001 Audi TT 1.8T Quattro Roadster,Used Car191 500 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,191.5,2001,Audi,TT,"['1.8T', 'Quattro', 'Roadster']"
99900.0,1979.0,2013 MINI Hatch One,Used Car161 733 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,161.733,2013,MINI,Hatch,['One']
99900.0,1979.0,2012 Jeep Compass 2.0L Limited,Used Car169 405 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,169.405,2012,Jeep,Compass,"['2.0L', 'Limited']"
99900.0,1979.0,2001 Mazda B2500 2.5 Drifter SLX,Used Car336 759 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,336.759,2001,Mazda,B2500,"['2.5', 'Drifter', 'SLX']"
99900.0,1979.0,2014 Hyundai i20 1.2 Motion,Used Car151 000 kmManual,CALLABEE AUTOMOTIVE,"Little Falls, Roodepoort",Manual,151.0,2014,Hyundai,i20,"['1.2', 'Motion']"
99900.0,1979.0,2013 Ford Fiesta 5-Door 1.0T Trend,Used Car206 522 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,206.522,2013,Ford,Fiesta,"['5-Door', '1.0T', 'Trend']"
99900.0,1979.0,2005 Nissan 350Z Coupe,Used Car193 400 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,193.4,2005,Nissan,350Z,['Coupe']
99900.0,1979.0,2016 Renault Kwid 1.0 Dynamique,Used Car84 500 kmManual,KONDAKOV CARS CC,"Ravenswood, Boksburg",Manual,84.5,2016,Renault,Kwid,"['1.0', 'Dynamique']"
